# iteração	procurando	descanso	alvos_encontrados	energia
1	0	10	0	0
2	0	10	0	0
3	2	8	0	-2
4	3	7	0	-5
5	3	7	0	-8
6	3	7	0	-11
7	3	7	0	-14
8	3	7	0	-17
9	5	5	0	-22
10	7	3	0	-29
11	8	2	0	-37
12	9	1	0	-46
13	9	1	0	-55
14	9	1	0	-64
15	9	1	0	-73
16	9	1	0	-82
17	9	1	0	-91
18	9	1	0	-100
19	9	1	0	-109
20	9	1	0	-118
21	9	1	0	-127
22	9	1	0	-136
23	9	1	0	-145
24	9	1	0	-154
25	9	1	0	-163
26	9	1	0	-172
27	9	1	0	-181
28	9	1	0	-190
29	9	1	0	-199
30	9	1	0	-208
31	9	1	0	-217
32	9	1	0	-226
33	10	0	0	-236
34	10	0	0	-246
35	10	0	0	-256
36	10	0	0	-266
37	10	0	0	-276
38	10	0	0	-286
39	10	0	0	-296
40	10	0	0	-306
41	10	0	0	-316
42	10	0	0	-326
43	10	0	0	-336
44	10	0	0	-346
45	10	0	0	-356
46	10	0	0	-366
47	10	0	0	-376
48	10	0	0	-386
49	10	0	0	-396
50	10	0	0	-406
51	10	0	0	-416
52	10	0	0	-426
53	10	0	0	-436
54	10	0	0	-446
55	10	0	0	-456
56	10	0	0	-466
57	10	0	0	-476
58	10	0	0	-486
59	10	0	0	-496
60	10	0	0	-506
61	10	0	0	-516
62	10	0	0	-526
63	10	0	0	-536
64	10	0	0	-546
65	10	0	0	-556
66	10	0	0	-566
67	10	0	0	-576
68	10	0	0	-586
69	10	0	0	-596
70	10	0	0	-606
71	10	0	0	-616
72	10	0	0	-626
73	10	0	0	-636
74	10	0	0	-646
75	10	0	0	-656
76	10	0	0	-666
77	10	0	0	-676
78	10	0	0	-686
79	10	0	0	-696
80	10	0	0	-706
81	10	0	0	-716
82	10	0	0	-726
83	10	0	0	-736
84	10	0	0	-746
85	10	0	0	-756
86	10	0	0	-766
87	10	0	0	-776
88	10	0	0	-786
89	10	0	0	-796
90	10	0	0	-806
91	10	0	0	-816
92	10	0	0	-826
93	10	0	0	-836
94	10	0	0	-846
